,GEOID,stateID,countyID,population_size,age2034,age65up,black,hispanic,asian,white,pct_college_degree_higher,pct_college_grad_student,hhincome,pct_male,pct_female,poverty,mean_commute_time,pct_english_only,pct_foreign_born,median_rent
929,25021415300,25,21,3871,5.1,18.2,1.8,3871,7.2,89.3,59.6,16.2,124848,49.2,50.8,2.4,32.8,87,13,
930,25021416101,25,21,5752,4.7,16.7,6.1,5752,10.9,76.3,69.6,19.3,144552,46.1,53.9,4.3,36.2,79.8,15,
931,25021416102,25,21,3979,25.1,21.7,11,3979,6.4,76.7,63.8,80.4,119688,44.9,55.1,3.1,29,85,10.3,1650
932,25021416200,25,21,6900,6.7,10.8,36.5,6900,3.6,50.6,55.7,18.9,112328,47.2,52.8,4.4,31.6,74.8,20.4,1640
933,25021416300,25,21,4881,3.2,16.9,14.6,4881,3.3,72,63.7,24,134493,48.9,51.1,3.3,33,81,11.1,1186
934,25021416400,25,21,6015,2.8,15.3,0.4,6015,8.7,88.9,58.7,18.3,125250,46.7,53.3,4.7,33.5,90.8,10.2,2167
935,25021417100,25,21,4702,9.8,13,4.3,4702,29.1,63.8,49.6,47,96250,53.8,46.2,4,32.1,70.1,27.1,1420
936,25021417200,25,21,7931,7.5,12.1,4.1,7931,42.4,50.6,44.1,59.3,70000,48.5,51.5,8.3,38.3,49.5,40.2,1471
937,25021417300,25,21,2997,2.1,31.9,2.5,2997,17.2,78.9,64.5,50.9,87422,47.8,52.2,8.7,36,71.7,29.9,1668
938,25021417400,25,21,2389,8.2,20.2,2.6,2389,3.8,87.1,46.8,43.2,89028,55.2,44.8,7.5,29.9,91.9,7.9,1443
939,25021417501,25,21,5042,8.7,15.7,0.3,5042,40.3,51.9,47.4,33.6,85784,49.4,50.6,4.9,34.6,57,32.5,1557
940,25021417502,25,21,4587,5.4,7.9,3.7,4587,56.9,36.3,35.5,43.2,71286,50,50,10.6,35.7,41.9,51.4,1177
941,25021417601,25,21,5125,9.2,12.9,1.3,5125,44,49.9,33.1,70.1,68245,49.9,50.1,13.2,33.9,54.1,38.3,1250
942,25021417602,25,21,5035,5.1,18.4,5,5035,29.2,62.4,46,41.4,75150,50.4,49.6,5.6,39.3,62.7,28,1233
943,25021417701,25,21,5380,5.3,24.8,4,5380,32.1,57.7,43.7,53.7,58099,44.2,55.8,8.1,41.7,62.8,34.8,1187
944,25021417702,25,21,2774,3,15.8,7.2,2774,12.2,76.4,41.3,29.2,88661,50.8,49.2,11.5,35.8,80.8,17.8,1442
945,25021417801,25,21,4807,5.6,14.7,7.4,4807,4.5,83.4,41.6,28.3,103125,45.5,54.5,4.6,33.3,87.7,8.1,1340
946,25021417802,25,21,3321,6.1,17.1,6.4,3321,39.8,45.3,22.7,26.2,25045,45.4,54.6,29.1,35.1,48.1,38.4,504
947,25021417901,25,21,6496,5,17.9,7.3,6496,21.8,63.8,29.5,28.8,53566,49.3,50.7,12.7,35,64.1,31.5,1128
948,25021417902,25,21,4037,8.1,13,7.8,4037,25.5,63,31.6,35.8,58838,47.3,52.7,16.5,31.2,68,26.8,1431
949,25021418002,25,21,7197,5.3,14.1,5.8,7197,37.4,52.6,54.4,40.2,78224,49.8,50.2,8.1,37.2,54.3,41.3,1576
950,25021418003,25,21,2793,8.8,6.1,6.4,2793,23.2,61.9,55.4,47.2,78674,48.8,51.2,16.8,33.5,64,32.5,1823
951,25021418004,25,21,4377,11.4,13.3,4.9,4377,31.1,56,37,59,60278,43.5,56.5,14,36.3,53,36.6,1287
952,25021418101,25,21,4781,6.4,16.9,1.5,4781,26.4,69.3,61.3,50.1,70570,46.2,53.8,18.2,32.3,67.7,28.7,1551
953,25021418102,25,21,3300,5,12.1,7.4,3300,14.1,67.1,40.6,36.3,58158,46.8,53.2,12.8,36.6,71.1,25.7,1246
954,25021418200,25,21,6753,4.1,12.7,10.8,6753,14.9,64.2,43.7,26,90476,47.8,52.2,7.1,36.6,69.7,22.8,1695
955,25021419100,25,21,6028,7.5,13.6,6.3,6028,14.7,75.7,50.7,20,87553,46.8,53.2,3.8,33,78.2,23.3,1918
956,25021419200,25,21,5332,3.4,19.1,2.8,5332,9.7,83.5,41.5,19.2,96217,45.7,54.3,5.3,35.1,86.8,9.4,1280
957,25021419300,25,21,4146,3.4,11.9,7.9,4146,12.5,73.3,32.1,26.9,66250,50.6,49.4,12.7,34.7,73.6,18.6,973
958,25021419400,25,21,3218,5.2,15.8,2.3,3218,10.7,83.4,32.7,30.3,88164,49.1,50.9,8.4,31.4,78.7,19,1218
959,25021419500,25,21,3020,8,22.2,5,3020,12.1,79.4,39.7,25.6,91000,42.6,57.4,1.6,36.9,77.6,16.7,1210
960,25021419600,25,21,6771,3.2,16.5,1.2,6771,6.2,88.8,49.1,16.2,103492,46.2,53.8,3,36.8,86,15.1,2310
961,25021419700,25,21,4180,3.9,21.1,0.2,4180,16.2,77.6,41.7,18.5,90763,47.9,52.1,2.6,34.2,78.6,18.7,417
962,25021419800,25,21,4387,8.3,20.9,2.3,4387,9.3,84.9,34.7,17,78658,48,52,4,32.1,87.1,10.4,1262
